timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime
1744892425464,4,GET /cars,200,,Scenario 1: Get Cars List 1-15,text,true,,174,178,1,1,http://localhost:8080/cars,4,0
1744892425493,4,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-15,text,true,,177,210,1,1,http://localhost:8080/cars/rent/GHI789,4,0
1744892425777,12,POST /cars/return/{registrationNumber},200,,Scenario 3: Return Cars 3-14,,true,,121,212,1,1,http://localhost:8080/cars/return/ABC123,12,0
1744892426064,4,GET /cars,200,,Scenario 1: Get Cars List 1-16,text,true,,174,178,1,1,http://localhost:8080/cars,4,0
1744892426092,5,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-16,text,true,,177,210,1,1,http://localhost:8080/cars/rent/XYZ789,5,0
1744892426444,13,POST /cars/return/{registrationNumber},200,,Scenario 3: Return Cars 3-15,,true,,121,212,1,1,http://localhost:8080/cars/return/DEF456,13,0
1744892426665,11,GET /cars,200,,Scenario 1: Get Cars List 1-17,text,true,,174,178,1,1,http://localhost:8080/cars,11,0
1744892426692,4,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-17,text,true,,177,210,1,1,http://localhost:8080/cars/rent/GHI789,4,0
1744892427110,3,POST /cars/return/{registrationNumber},200,,Scenario 3: Return Cars 3-16,,true,,121,212,1,1,http://localhost:8080/cars/return/ABC123,3,0
1744892427264,12,GET /cars,200,,Scenario 1: Get Cars List 1-18,text,true,,174,178,1,1,http://localhost:8080/cars,12,0
1744892427292,4,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-18,text,true,,177,210,1,1,http://localhost:8080/cars/rent/XYZ789,4,0
1744892427776,4,POST /cars/return/{registrationNumber},200,,Scenario 3: Return Cars 3-17,,true,,121,212,1,1,http://localhost:8080/cars/return/DEF456,4,0
1744892427864,4,GET /cars,200,,Scenario 1: Get Cars List 1-19,text,true,,174,178,1,1,http://localhost:8080/cars,4,0
1744892427891,6,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-19,text,true,,177,210,1,1,http://localhost:8080/cars/rent/GHI789,6,0
1744892428445,19,POST /cars/return/{registrationNumber},200,,Scenario 3: Return Cars 3-18,,true,,121,212,1,2,http://localhost:8080/cars/return/ABC123,19,0
1744892428464,9,GET /cars,200,,Scenario 1: Get Cars List 1-20,text,true,,174,178,1,1,http://localhost:8080/cars,9,0
1744892428491,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-20,text,true,,177,210,1,1,http://localhost:8080/cars/rent/XYZ789,3,0
1744892429064,4,GET /cars,200,,Scenario 1: Get Cars List 1-21,text,true,,174,178,1,1,http://localhost:8080/cars,4,0
1744892429091,4,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-21,text,true,,177,210,1,1,http://localhost:8080/cars/rent/DEF456,4,0
1744892429112,5,POST /cars/return/{registrationNumber},200,,Scenario 3: Return Cars 3-19,,true,,121,212,1,1,http://localhost:8080/cars/return/GHI789,5,0
1744892429664,12,GET /cars,200,,Scenario 1: Get Cars List 1-22,text,true,,174,178,1,1,http://localhost:8080/cars,12,0
1744892429692,5,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-22,text,true,,177,210,1,1,http://localhost:8080/cars/rent/ABC123,5,0
1744892429778,3,POST /cars/return/{registrationNumber},200,,Scenario 3: Return Cars 3-20,,true,,121,212,1,1,http://localhost:8080/cars/return/XYZ789,3,0
1744892430263,4,GET /cars,200,,Scenario 1: Get Cars List 1-23,text,true,,174,178,1,1,http://localhost:8080/cars,3,0
1744892430291,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-23,text,true,,177,210,1,1,http://localhost:8080/cars/rent/DEF456,2,0
1744892430444,10,POST /cars/return/{registrationNumber},200,,Scenario 3: Return Cars 3-21,,true,,121,212,1,1,http://localhost:8080/cars/return/GHI789,10,0
1744892430864,4,GET /cars,200,,Scenario 1: Get Cars List 1-24,text,true,,174,178,1,1,http://localhost:8080/cars,4,0
1744892430891,5,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-24,text,true,,177,210,1,1,http://localhost:8080/cars/rent/ABC123,5,0
1744892431111,4,POST /cars/return/{registrationNumber},200,,Scenario 3: Return Cars 3-22,,true,,121,212,1,1,http://localhost:8080/cars/return/XYZ789,4,0
1744892431463,11,GET /cars,200,,Scenario 1: Get Cars List 1-25,text,true,,174,178,1,1,http://localhost:8080/cars,11,0
1744892431492,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-25,text,true,,177,210,1,1,http://localhost:8080/cars/rent/DEF456,3,0
1744892431778,4,POST /cars/return/{registrationNumber},200,,Scenario 3: Return Cars 3-23,,true,,121,212,1,1,http://localhost:8080/cars/return/GHI789,4,0
1744892432066,39,GET /cars,200,,Scenario 1: Get Cars List 1-26,text,true,,174,178,1,2,http://localhost:8080/cars,39,0
1744892432100,5,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-26,text,true,,177,210,1,2,http://localhost:8080/cars/rent/ABC123,5,0
1744892432447,4,POST /cars/return/{registrationNumber},200,,Scenario 3: Return Cars 3-24,,true,,121,212,1,1,http://localhost:8080/cars/return/XYZ789,4,0
1744892432664,7,GET /cars,200,,Scenario 1: Get Cars List 1-27,text,true,,174,178,1,1,http://localhost:8080/cars,7,0
1744892432691,4,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-27,text,true,,177,210,1,1,http://localhost:8080/cars/rent/DEF456,4,0
1744892433112,5,POST /cars/return/{registrationNumber},200,,Scenario 3: Return Cars 3-25,,true,,121,212,1,1,http://localhost:8080/cars/return/GHI789,5,0
1744892433264,5,GET /cars,200,,Scenario 1: Get Cars List 1-28,text,true,,174,178,1,1,http://localhost:8080/cars,5,0
1744892433291,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-28,text,true,,177,210,1,1,http://localhost:8080/cars/rent/ABC123,3,0
1744892433780,4,POST /cars/return/{registrationNumber},200,,Scenario 3: Return Cars 3-26,,true,,121,212,1,1,http://localhost:8080/cars/return/XYZ789,4,0
1744892433864,4,GET /cars,200,,Scenario 1: Get Cars List 1-29,text,true,,174,178,1,1,http://localhost:8080/cars,4,0
1744892433892,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-29,text,true,,177,210,1,1,http://localhost:8080/cars/rent/DEF456,3,0
1744892434447,4,POST /cars/return/{registrationNumber},200,,Scenario 3: Return Cars 3-27,,true,,121,212,1,1,http://localhost:8080/cars/return/GHI789,4,0
1744892434464,4,GET /cars,200,,Scenario 1: Get Cars List 1-30,text,true,,174,178,1,1,http://localhost:8080/cars,4,0
1744892434492,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-30,text,true,,177,210,1,1,http://localhost:8080/cars/rent/ABC123,3,0
1744892435063,4,GET /cars,200,,Scenario 1: Get Cars List 1-31,text,true,,174,178,1,1,http://localhost:8080/cars,4,0
1744892435115,3,POST /cars/return/{registrationNumber},200,,Scenario 3: Return Cars 3-28,,true,,121,212,1,2,http://localhost:8080/cars/return/DEF456,3,0
1744892435092,26,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-31,text,true,,177,210,1,2,http://localhost:8080/cars/rent/XYZ789,26,0
1744892435664,4,GET /cars,200,,Scenario 1: Get Cars List 1-32,text,true,,174,178,1,1,http://localhost:8080/cars,4,0
1744892435690,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-32,text,true,,177,210,1,1,http://localhost:8080/cars/rent/GHI789,3,0
1744892435782,4,POST /cars/return/{registrationNumber},200,,Scenario 3: Return Cars 3-29,,true,,121,212,1,1,http://localhost:8080/cars/return/ABC123,4,0
1744892436264,3,GET /cars,200,,Scenario 1: Get Cars List 1-33,text,true,,174,178,1,1,http://localhost:8080/cars,3,0
1744892436291,4,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-33,text,true,,177,210,1,1,http://localhost:8080/cars/rent/XYZ789,4,0
1744892436447,4,POST /cars/return/{registrationNumber},200,,Scenario 3: Return Cars 3-30,,true,,121,212,1,1,http://localhost:8080/cars/return/DEF456,4,0
1744892436865,4,GET /cars,200,,Scenario 1: Get Cars List 1-34,text,true,,174,178,1,1,http://localhost:8080/cars,4,0
1744892436891,4,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-34,text,true,,177,210,1,1,http://localhost:8080/cars/rent/GHI789,3,0
1744892437464,3,GET /cars,200,,Scenario 1: Get Cars List 1-35,text,true,,174,178,1,1,http://localhost:8080/cars,3,0
1744892437492,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-35,text,true,,177,210,1,1,http://localhost:8080/cars/rent/ABC123,3,0
1744892438063,12,GET /cars,200,,Scenario 1: Get Cars List 1-36,text,true,,174,178,1,1,http://localhost:8080/cars,12,0
1744892438091,3,POST /cars/rent/{registrationNumber},200,,Scenario 2: Rent Cars 2-36,text,true,,177,210,1,1,http://localhost:8080/cars/rent/XYZ789,3,0
1744892438664,10,GET /cars,200,,Scenario 1: Get Cars List 1-37,text,true,,174,178,1,1,http://localhost:8080/cars,10,0
